label,origin_id,punchline_idx,text_a,text_b
0,0,7,One m hoping they ll come and see this,and say We have to have this
0,0,7,I m skip they ll come and see this,and say We have to have this
0,0,7,1 m hop skip they ll come and see this,and say We have to have this
0,0,7,Iodin m hoping they ll come and see this,and say We have to have this
0,0,7,I m hoping they ll come and take in this,and say We have to have this
1,1,15,a man world health organization cannot take the sign that warns people from throwing garbage on the ground live,illiterate
1,1,15,a piece world health organization cannot read the mansion that warns people from throwing food waste on the ground is,illiterate
1,1,15,a world world health organization cannot show the mark that warns hoi polloi from throwing garbage on the ground is,illiterate
1,1,15,a human race world health organization cannot read the sign that warns citizenry from throwing garbage on the ground be,illiterate
1,1,15,a man who cannot scan the sign that warn people from throwing drivel on the basis is,illiterate
1,2,8,i fired the floor refinishers they simply could non book,their lacquer
1,2,8,single fired the floor refinishers they simply could not defy,their lacquer
1,2,8,ace fired the floor preserver they simply could not bear,their lacquer
1,2,8,i fired the flooring preserver they simply could not hold,their lacquer
1,2,8,iodin fired the floor refinishers they simply could not apply,their lacquer
1,3,6,an lift makes ghosts happy because information technology lifts,the spirits
1,3,6,an elevator makes ghosts happy because it lift,the spirits
1,3,6,an elevator makes specter happy because it lifts,the spirits
1,3,6,an elevator makes ghostwriter happy because it lifts,the spirits
1,3,6,an elevator makes ghosts happy because information technology lifts,the spirits
1,4,4,the world class drinking establishment in alaska,was a polar bar
1,4,4,the first drinking establishment in last frontier,was a polar bar
1,4,4,the 1st drinking establishment in alaska,was a polar bar
1,4,4,the foremost drinking establishment in alaska,was a polar bar
1,4,4,the first drinking validation in alaska,was a polar bar
0,5,4,They will pay a mary leontyne price for,it if they try
0,5,4,They volition pay a price for,it if they try
0,5,4,They will yield a price for,it if they try
0,5,4,They leave pay a price for,it if they try
0,5,4,They will pay a cost for,it if they try
1,6,4,if you give your steady pretty,flowers will she turn on her flirty powers
1,6,4,if you move over your sweetie pretty,flowers will she turn on her flirty powers
1,6,4,if you give your sweetie reasonably,flowers will she turn on her flirty powers
1,6,4,if you give your truelove pretty,flowers will she turn on her flirty powers
1,6,4,if you present your sweetie pretty,flowers will she turn on her flirty powers
1,7,8,helium had a difficult time bounce back from his bungee,cord accident
1,7,8,he had a difficult time resile back from his bungee cord,cord accident
1,7,8,he had a unmanageable fourth dimension bouncing backwards from his bungee,cord accident
1,7,8,he have a difficult clock time bouncing backward from his bungee,cord accident
1,7,8,he take in a difficult time bouncing backward from his bungee,cord accident
0,8,12,They may be expensive but possessor articulate they open up many living and traveling,opportunities
0,8,12,They crataegus oxycantha be expensive but owners order they open up many living and journey,opportunities
0,8,12,They may be expensive just owners say they open up many living and go,opportunities
0,8,12,They may be expensive merely proprietor say they open up many living and move,opportunities
0,8,12,They may be expensive but owners read they open up many living and traveling,opportunities
1,9,5,those world health organization have icicle keep a stiff,upper drip
1,9,5,those who suffer icicles observe a stiff,upper drip
1,9,5,those who accept icicle keep a stiff,upper drip
1,9,5,those world health organization take in icicles keep a stiff,upper drip
1,9,5,those who bear icicle keep a stiff,upper drip
1,10,9,the dentist put distich on his patient as a halt gap,measure
1,10,9,the dentist put braces on his patient role as a stop gap,measure
1,10,9,the dentist put brace on his patient as a arrest gap,measure
